id;start_date;end_date;language
1;2019-11-27T04:07:48;2019-11-26T19:36:44;SPANISH
2;2019-11-26T18:16:33;2019-11-26T16:27:54;ENGLISH
3;2019-11-26T19:43:44;2019-11-27T07:12:37;SPANISH
4;2019-11-26T19:36:08;2019-11-27T09:02:00;FRENCH
5;2019-11-26T12:52:22;2019-11-26T22:36:03;FRENCH
6;2019-11-26T13:49:06;2019-11-26T14:46:03;ENGLISH
7;2019-11-26T17:54:02;2019-11-27T03:28:49;FRENCH
8;2019-11-27T09:53:00;2019-11-27T02:07:31;ENGLISH
9;2019-11-27T11:12:02;2019-11-26T18:46:08;SPANISH
10;2019-11-26T20:58:16;2019-11-26T18:41:28;ENGLISH
